,model,scenario,region,variable,unit,year,value
196,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|igcc,GWa,2035,0.0
197,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|igcc,GWa,2040,0.0
198,West Bengal energy model,baseline,India,Primary Energy|Fossil,GWa,2015,46.285709381103516
199,West Bengal energy model,baseline,India,Primary Energy|Fossil,GWa,2020,33.43642044067383
200,West Bengal energy model,baseline,India,Primary Energy|Fossil,GWa,2025,35.212127685546875
201,West Bengal energy model,baseline,India,Primary Energy|Fossil,GWa,2030,43.54519271850586
202,West Bengal energy model,baseline,India,Primary Energy|Fossil,GWa,2035,52.914527893066406
203,West Bengal energy model,baseline,India,Primary Energy|Fossil,GWa,2040,71.70941925048828
204,West Bengal energy model,baseline,India,Primary Energy|Fossil|w/ CCS,GWa,2015,0.0
205,West Bengal energy model,baseline,India,Primary Energy|Fossil|w/ CCS,GWa,2020,0.0
206,West Bengal energy model,baseline,India,Primary Energy|Fossil|w/ CCS,GWa,2025,0.0
207,West Bengal energy model,baseline,India,Primary Energy|Fossil|w/ CCS,GWa,2030,0.0
208,West Bengal energy model,baseline,India,Primary Energy|Fossil|w/ CCS,GWa,2035,0.0
209,West Bengal energy model,baseline,India,Primary Energy|Fossil|w/ CCS,GWa,2040,0.0
210,West Bengal energy model,baseline,India,Primary Energy|Fossil|w/o CCS,GWa,2015,46.285709381103516
211,West Bengal energy model,baseline,India,Primary Energy|Fossil|w/o CCS,GWa,2020,33.43642044067383
212,West Bengal energy model,baseline,India,Primary Energy|Fossil|w/o CCS,GWa,2025,35.212127685546875
213,West Bengal energy model,baseline,India,Primary Energy|Fossil|w/o CCS,GWa,2030,43.54519271850586
214,West Bengal energy model,baseline,India,Primary Energy|Fossil|w/o CCS,GWa,2035,52.914527893066406
215,West Bengal energy model,baseline,India,Primary Energy|Fossil|w/o CCS,GWa,2040,71.70941925048828
216,West Bengal energy model,baseline,India,Primary Energy|Gas,GWa,2015,2.421433448791504
217,West Bengal energy model,baseline,India,Primary Energy|Gas,GWa,2020,2.690518856048584
218,West Bengal energy model,baseline,India,Primary Energy|Gas,GWa,2025,3.411801815032959
219,West Bengal energy model,baseline,India,Primary Energy|Gas,GWa,2030,4.101991176605225
220,West Bengal energy model,baseline,India,Primary Energy|Gas,GWa,2035,4.783143520355225
221,West Bengal energy model,baseline,India,Primary Energy|Gas,GWa,2040,5.9331536293029785
222,West Bengal energy model,baseline,India,Primary Energy|Gas|Domestic,GWa,2015,0.0
223,West Bengal energy model,baseline,India,Primary Energy|Gas|Domestic,GWa,2020,0.0
224,West Bengal energy model,baseline,India,Primary Energy|Gas|Domestic,GWa,2025,0.0
225,West Bengal energy model,baseline,India,Primary Energy|Gas|Domestic,GWa,2030,0.0
226,West Bengal energy model,baseline,India,Primary Energy|Gas|Domestic,GWa,2035,0.0
227,West Bengal energy model,baseline,India,Primary Energy|Gas|Domestic,GWa,2040,0.0
228,West Bengal energy model,baseline,India,Primary Energy|Gas|Import,GWa,2015,2.421433448791504
229,West Bengal energy model,baseline,India,Primary Energy|Gas|Import,GWa,2020,2.690518856048584
230,West Bengal energy model,baseline,India,Primary Energy|Gas|Import,GWa,2025,3.411801815032959
231,West Bengal energy model,baseline,India,Primary Energy|Gas|Import,GWa,2030,4.101991176605225
232,West Bengal energy model,baseline,India,Primary Energy|Gas|Import,GWa,2035,4.783143520355225
233,West Bengal energy model,baseline,India,Primary Energy|Gas|Import,GWa,2040,5.9331536293029785
234,West Bengal energy model,baseline,India,Primary Energy|Gas|w/ CCS,GWa,2015,0.0
235,West Bengal energy model,baseline,India,Primary Energy|Gas|w/ CCS,GWa,2020,0.0
236,West Bengal energy model,baseline,India,Primary Energy|Gas|w/ CCS,GWa,2025,0.0
237,West Bengal energy model,baseline,India,Primary Energy|Gas|w/ CCS,GWa,2030,0.0
238,West Bengal energy model,baseline,India,Primary Energy|Gas|w/ CCS,GWa,2035,0.0
239,West Bengal energy model,baseline,India,Primary Energy|Gas|w/ CCS,GWa,2040,0.0
